[00:15:02] [Render thread/INFO]: Setting user: husker41
[00:15:02] [Render thread/INFO]: Backend library: LWJGL version 3.2.2 build 10
[00:15:09] [Render thread/ERROR]: Couldn't set icon
java.io.FileNotFoundException: icons/icon_16x16.png
	at aah.a(SourceFile:89) ~[1.16.1.jar:?]
	at dlx.<init>(SourceFile:452) [1.16.1.jar:?]
	at net.minecraft.client.main.Main.main(SourceFile:177) [1.16.1.jar:?]
[00:15:11] [Render thread/INFO]: Narrator library for x64 successfully loaded
[00:15:11] [Render thread/INFO]: Reloading ResourceManager: Default
[00:15:14] [Render thread/INFO]: Stopping!
[00:15:14] [Worker-Main-12/WARN]: Unable to load model: 'minecraft:block/enchanting_table' referenced from: minecraft:enchanting_table#: java.io.FileNotFoundException: minecraft:models/block/enchanting_table.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=inner_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=top,shape=inner_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=top,shape=outer_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=inner_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=east,half=bottom,shape=straight,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=bottom,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=south,half=bottom,shape=outer_right,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=north,half=top,shape=outer_left,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=inner_right,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=straight,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=top,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/sandstone_stairs.json' missing model for variant: 'minecraft:sandstone_stairs#facing=west,half=bottom,shape=outer_left,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/emerald_ore.json: java.io.FileNotFoundException: minecraft:blockstates/emerald_ore.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/emerald_ore.json' missing model for variant: 'minecraft:emerald_ore#'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: minecraft:blockstates/ender_chest.json: java.io.FileNotFoundException: minecraft:blockstates/ender_chest.json
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/ender_chest.json' missing model for variant: 'minecraft:ender_chest#facing=north,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/ender_chest.json' missing model for variant: 'minecraft:ender_chest#facing=east,waterlogged=false'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/ender_chest.json' missing model for variant: 'minecraft:ender_chest#facing=north,waterlogged=true'
[00:15:14] [Worker-Main-12/WARN]: Exception loading blockstate definition: 'minecraft:blockstates/ender_chest.json' missing model for variant: 'minecraft:ender_chest#facing=west,waterlogged=false'
